Title;City;USD price;UAH price;Link
Volkswagen T-Roc 2022;Львів;30 935 $;1 249 447 грн;https://auto.ria.com/newauto/auto-volkswagen-t-roc-1898549.html
Volkswagen T-Roc 2022;Львів;28 272 $;1 141 899 грн;https://auto.ria.com/newauto/auto-volkswagen-t-roc-1898555.html
Volkswagen T-Roc 2022;Львів;31 626 $;1 277 358 грн;https://auto.ria.com/newauto/auto-volkswagen-t-roc-1898559.html
Volkswagen Arteon 2022;Житомир;53 392 $50 864 $;2 054 410 грн;https://auto.ria.com/newauto/auto-volkswagen-arteon-1898145.html
Volkswagen T-Roc 2022;Київ;33 304 $;1 345 154 грн;https://auto.ria.com/newauto/auto-volkswagen-t-roc-1898518.html
Volkswagen T-Roc 2022;Львів;28 157 $;1 137 247 грн;https://auto.ria.com/newauto/auto-volkswagen-t-roc-1898550.html
Volkswagen T-Roc 2022;Львів;28 272 $;1 141 899 грн;https://auto.ria.com/newauto/auto-volkswagen-t-roc-1898557.html
Volkswagen Caravelle 2022;Кропивницький (Кіровоград);53 776 $;2 172 000 грн;https://auto.ria.com/newauto/auto-volkswagen-caravelle-1898506.html
Volkswagen T-Roc 2022;Львів;27 672 $;1 117 679 грн;https://auto.ria.com/newauto/auto-volkswagen-t-roc-1898553.html
Volkswagen Tiguan 2022;Львів;41 789 $;1 687 872 грн;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1898579.html
Volkswagen T-Roc 2022;Івано-Франківськ;29 190 $;1 179 000 грн;https://auto.ria.com/newauto/auto-volkswagen-t-roc-1894803.html
Volkswagen T-Roc 2022;Одеса;32 127 $;1 297 618 грн;https://auto.ria.com/newauto/auto-volkswagen-t-roc-1896094.html
Volkswagen Tiguan 2022;Дніпро (Дніпропетровськ);39 948 $;1 613 500 грн;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1898163.html
Volkswagen T-Roc 2022;Львів;33 671 $;1 360 308 грн;https://auto.ria.com/newauto/auto-volkswagen-t-roc-1898574.html
Volkswagen ID.4 2022;Вінниця;36 395 $;1 470 000 грн;https://auto.ria.com/newauto/auto-volkswagen-id-4-1885901.html
Volkswagen Tiguan 2022;Полтава;49 533 $;2 000 638 грн;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1889825.html
Volkswagen T6 (Transporter) груз 2021;Житомир;45 556 $;1 840 000 грн;https://auto.ria.com/newauto/auto-volkswagen-t6-transporter-gruz-1898479.html
Volkswagen T-Roc 2022;Луцьк;34 525 $32 902 $;1 328 903 грн;https://auto.ria.com/newauto/auto-volkswagen-t-roc-1898159.html
Volkswagen T-Roc 2022;Одеса;33 774 $;1 364 146 грн;https://auto.ria.com/newauto/auto-volkswagen-t-roc-1892247.html
Volkswagen Tiguan 2022;Харків;46 987 $;1 897 805 грн;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1898538.html
